1,0,	RT @spardaxyz: Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO";
2,0,	RT @baguscondromowo: Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.";
3,0,	Sylvi: bagaimana gurbernur melakukan kekerasan perempuan? Buktinya banyak ibu2 mau foto bareng #DebatFinalPilkadaJKT";
4,0,	""Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan di Bekasi Belum Sempat Terungkap https:\/\/t.co\/m3HopPLUID\u2026""";
5,0,	RT @lisdaulay28: Waspada KTP palsu.....kawal PILKADA https:\/\/t.co\/OOoERQV4SM";
6,0,	""@felixsiauw masih bnyak hal agamis yg bisa dibahas, kenapa ke pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????""";
7,0,	@saidaqil apa maksud pernyataan. Anda? Apa anda mengaminkan kriminalisasi Ahok?? Hati2 jg dg mulutmu pak! https:\/\/t.co\/H4ODVaY0Md";
8,0,	Ahok Akan Integrasikan Transportasi Publik dengan Sistem Single Ticketing\u2026 https:\/\/t.co\/42PH7pqV0b #infoTribun";
9,0,	""Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well.""";
10,0,	""Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini https:\/\/t.co\/xWZW4nUFIU""";
11,0,	""Bisa gak kita seperti Jokowi dan Ahok? Aku kalem, kamu tegas saling melengkapi. :')""";
12,0,	""Bos mau makan di istana ga, Di undang noh makan di istana Gebang tapinya https:\/\/t.co\/ns6cUYCpUj""";
13,0,	Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online https:\/\/t.co\/T3kzvq9E4e";
14,0,	Debat terakhir Pilkada DKI Jakarta digelar Jumat malam. https:\/\/t.co\/e9ixz6Jllr";
15,0,	Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah";
16,0,	""Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu https:\/\/t.co\/92ss4trDcX""";
17,0,	""Gila gara2 pilkada, beberapa tokoh menampakkan watak aslinya.""";
18,0,	Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online https:\/\/t.co\/JhNOT8ecNz";
19,0,	""Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama atau Ahok, berencana merombak struktur jabatan pegawai... https:\/\/t.co\/cdKEZxF9xO""";
20,0,	HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN";
21,0,	""Ibu2 aja, kalo beli telor pake milih2 sblm ditimbang. Pdh telor kan mirip2. Ibu2 itu tahu, telor ada yg busuk""";
22,0,	Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok https:\/\/t.co\/S6rlsAR7Y9";
23,0,	Ini Pesan Ahok di Hari Pers Nasional #KitaPastiPernah https:\/\/t.co\/h0L6mrjM3R";
24,0,	Istighotsah Bersama Ahok Catut Logo NU https:\/\/t.co\/U2rPY3C25R";
25,0,	Itu yang ngomong jangan pilih Ahok Djarot pernah ngerasain banjir ga sih? :(";
26,0,	Iya aja deh dripada hoax...";
27,0,	Jadi teringat para pelacur.belia yg dijual orang tuanya.sendiri di pantura.demi sesuap nasi https:\/\/t.co\/X5DdR7m693";
28,0,	jadi yg nyebar hoax ketahuan dong ada akun twitter nya lho";
29,0,	Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono";
30,0,	Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama";
31,0,	Serius tapi ada selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 #pilkadadki2017 #DebatFinalPilkadaJKT";
32,0,	Sylvie sukses blunder bikin paslon 1 drop elektabilitasnya dengan fitnah dan spin salah pilih kader #DebatFinalPilkadaJKT";
33,0,	Ahok: mari berlomba program #DebatFinalPilkadaJKT";
34,0,	#DebatFinalPilkadaJKT aduh... Kecewa pertanyaan paslon 1....";
35,0,	RT @agusdansylvi: #DebatFinalPilkadaJKT Saya pilih nomor 1. Sektor informal akan dimajukan mas Agus dan Mpok Sylvi.";
36,0,	RT @JTmor: Ahok pilihan terbaik untuk Jakarta";
37,0,	RT @augustfrankto: #DebatFinalPilkadaJKT Bu Silvy curhat karena pernah dimarahi sama Pak Ahok...hehe..";
38,0,	Mantap pak AHOK #DebatFinalPilkadaJKT";
39,0,	Ahok gagah kaya gatot kaca! #DebatFinalPilkadaJKT";
40,0,	Telaaaakkk nomer satuuuu. Nghahahaha #DebatFinalPilkadaJKT";
41,0,	Lomba adu program #DebatFinalPilkadaJKT #SkakSilvi";
42,0,	#DebatFinalPilkadaJKT Denger banyak program dan janji dan sering tau pas jadi ga dijalankan rasanya males aja sih.";
43,0,	DEBAT CAGUB DKI ke 3 - 10 Februari 2017 - Segmen 3 Mantap Ahok SKAK Sylviana Murni\n\n#DebatFinalPilkadaJKT";
44,0,	Pertanyaan Ibu Silvy rada maksa.. #DebatFinalPilkadaJKT";
45,0,	""Tanggal 15, pas pilkada nanti sy gak akan milih siapa-siapa ah!""";
46,0,	""Saya pribadi bakal prefer kok muslim dengan kapabilitas, tetapi lihat kondisinya Ahok menjadi pilihan plg realistis buat kemajuan DKI""";
47,0,	""Yang mendukung Mas Anies bukan berarti anti Pak Ahok, begitu Pula sebaliknya""";
48,0,	Spanduk Tolak Salatkan Pembela Penista Agama juga Muncul di Kalibata https:\/\/t.co\/Sr1PbYtigN";
49,0,	#DebatFinalPilkadaJKT Telak banget anjir ngakak!";
50,0,	Ayo berlomba program jangan fitnah2 #DebatFinalPilkadaJKT";
51,0,	RT @deelestari: Akhirnya nggak ngantuk lagi! Yeay! #DebatFinalPilkadaJKT";
52,0,	Duh dibilang ga punya program paslon 1... kesian kesian kesian ... #debatfinalpilkadajkt";
53,0,	""Tuntut Keadilan Bagi Penista Agama, Puluhan Jawara Betawi Ikuti Aksi 212 Jilid II https:\/\/t.co\/HWVuoZyYov""";
54,0,	Keras nih ahok #DebatFinalPilkadaJKT";
55,0,	Paslon 3 Anies Sandiaga Uno 15 Feb 2017 Utk Jakarta Indonesia Raya OK OCE";
56,0,	Sesuai namanya: RONDE FINAL\n\n#DebatFinalPilkadaJKT";
57,0,	""Mendagri Tambah Pusing, Ketika MA Emoh Keluarkan Fatwa Status Gubernur Penista Agama https:\/\/t.co\/J34aMQiMNi""";
58,0,	Tolong adu program";
59,0,	Genderang perang makin kencang #DebatFinalPilkadaJKT";
60,0,	Mpok sylvi udah mulai emosi \ud83d\ude02\n #DebatFinalPilkadaJKT";
